 Insights                                                                                                           ; PrimeiraPalavra-Chave ; SegundaPalavra-Chave ; Aleatório                                                                                                                   
 DeepLearning é uma ferramenta dentro do escopo do machine learning.                                                ; DeepLearning          ; Ferramenta           ; fvlskvnlaksjnvlsk aeslkjcnpasoncpasoji cpadsjncpoais                                                                        
 As vezes recomeçar do zero é mais fácil do que tentar organizar um código mal escrito.                             ; Organizar             ; Código               ; aslcjnapscijnpas capsocnpaOJCNPAOSNCPAONC                                                                                   
 Um jogo todo baseado em áudio para pessoas com cegueira.                                                           ; Jogo                  ; Cegueira             ; VDLKjsdbvpSDJNVCPOadnsvpojnsdpOVNPDSOAIVNPASINVPAOSDNVPAISNVPIANPNPIJNOIUpiub                                               
 Universidade de tecnologia e arte                                                                                  ; tecnologia            ; arte                 ;" dsgasfjkvnsz;vjn D:Jv OSDVn: doic:ODIVnczsjd;ovndvdg                                                                        "
 Game de mundo zoo noir com gatos mafiosos                                                                          ; game                  ; gatos                ;" ;poasncpoewncpi pasuecnpiuehfpiuasecpiuscpiusehcpiuhecpiupi                                                                 "
 Melhor forma de aprender é ensinando                                                                               ; aprender              ; ensinando            ;" xmon;ojnpaucbpaojcn;aonc;ao ;aoxapo;cnioun vlrskvnsro;vin a;woid clejc ni k;l jksndsk                                       "
10% de todos os humanos já nascidos, estão vivos neste momento.; humanos               ; vivos                ; skjechbsekchjbes kesjhcbelwpi woicepwiucbpewiubc pwieucoiewubcpi                                                            
São necessários 8 minutos e 17 segundos para a luz viajar da superfície do sol à terra.; superfície            ; sol                  ; iuopiugpoiygpiugpi piugiyrfutrc tycutrdfutyrfuytfuytfiytviytviy                                                             
 A aranha viúva negra, come o macho depois do acasalamento.                                                         ; aranha                ; acasalamento         ; jhgvutfuy uytcjyvjg uyftjcfkgjh kjhgvjhgckhgvkjgciytsshs suvkuhsv                                                           
O Universo contém mais de 10 bilhões de galáxias.; universo              ; galáxias             ; csjhciauegc iueyvcietwc. wtvsuywbswahdbaiudvaiuv                                                                            
 Quando se colocam larvas sobre feridas, elas curam mais rápido e sem risco de infecções ou gragrenas.              ; larvas                ; infecções            ; asjhasviuvedie usavxajkehcbkab aklcjbkcibaelkcihbakehcbaelkhcjvbaklejhcvbalkehcvlaejhcbvljahvcljhaevcl                      
 O local mais profundo de todos os oceanos são as Fossas Marianas                                                   ; profundo              ; oceanos              ;                                                                                                                             
 Todo ano, um milhão de terremotos sacodem a Terra.                                                                 ; terremotos            ; terra                ; lijndcoisdbpcids oieacboieasbcpieubcoiesbcoisebcieobcvoedbcoise                                                             
